2022-04-25_13-52-31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-04-25_13-52-31 [restartedMain] INFO  c.c.p.p.ProcessPensionMicroserviceApplication - Starting ProcessPensionMicroserviceApplication using Java 18 on DESKTOP-DAC986Q with PID 7156 (C:\Users\Elcot\Downloads\Pension-Management-System\ProcessPension-Microservice\target\classes started by Elcot in C:\Users\Elcot\Downloads\Pension-Management-System\ProcessPension-Microservice)
2022-04-25_13-52-31 [restartedMain] INFO  c.c.p.p.ProcessPensionMicroserviceApplication - No active profile set, falling back to default profiles: default
2022-04-25_13-52-31 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-25_13-52-31 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-25_13-52-31 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1142edd2-2b2c-39aa-b573-8c6b41a17bfb
2022-04-25_13-52-31 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.process.feignclient.AuthorisingClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-25_13-52-31 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.process.feignclient.PensionDisbursementFeignClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-25_13-52-31 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.cts.pension.process.feignclient.PensionerDetailFeignClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-25_13-52-31 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2022-04-25_13-52-31 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2022-04-25_13-52-31 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-04-25_13-52-31 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-04-25_13-52-31 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/process] - Initializing Spring embedded WebApplicationContext
2022-04-25_13-52-31 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 25949 ms
2022-04-25_13-52-31 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-04-25_13-52-31 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-04-25_13-52-31 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2022-04-25_13-52-31 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path '/process'
2022-04-25_13-52-31 [restartedMain] INFO  c.c.p.p.ProcessPensionMicroserviceApplication - Started ProcessPensionMicroserviceApplication in 54.716 seconds (JVM running for 67.514)
